OBJECTID;Name;Exposition;Hangneig;LS-Faktor;TWIndex;Woelbung;Pfad_Fluss;Pfad_Dorf
1;A0019;243,4349976;1,038669944;5,03798008;-4,122529984;-57,50220108;1194,880005;895,7860107
2;A0026;113,1989975;3,533499956;3,995170116;-5,563549995;-18,65990067;548,8540039;1273,5
3;A0027;101,3099976;1,18422997;5,22220993;-3,944439888;-50,3893013;103,6279984;1477,219971
4;A0028;270;2,321530104;3,46848011;-13,08189964;-0,331932992;116,723999;1448,52002
5;A0029;108,4349976;2,202519894;4,008639812;-5,974510193;-21,14590073;854,0689697;1417,170044
6;A0030;135;0,328489989;3,295969963;-6,244160175;12,32269955;455,5490112;1511,689941
7;A0031;36,86989975;2,321530104;4,053530216;-6,414070129;-28,04310036;908,3720093;1230,619995
8;A0032;96,58190155;11,98099995;2,754270077;-15,9066;3,127140045;1381,349976;732,0809937
9;A0033;101,3099976;1,18422997;5,165669918;-3,428240061;-14,72749996;1131,209961;1232,51001
10;A0034;102,9950027;3,095989943;5,010300159;-4,151569843;-22,18510056;1409,540039;1052,25
11;A0035;169,3800049;7,519030094;4,621469975;-12,39690018;5,7333498;1102,900024;1488,680054
12;A0036;16,92749977;5,566810131;2,027770042;-16,89259911;-4,654530048;1585,589966;702,026001
13;A0037;138,576004;5,251399994;3,338979959;-13,91720009;-31,77269936;1888,410034;374,2420044
14;A0038;18,43490028;3,667649984;3,782310009;-13,10949993;-10,95199966;1006,219971;1231,069946
15;A0039;343,071991;5,566810131;2,940479994;-14,9552002;2,593470097;1738,959961;750,8200073
16;A0040;128,6600037;2,971970081;4,319910049;-12,15200043;-7,010359764;1399,030029;1048,410034
17;A0041;90;3,711280107;2,634589911;-15,20510006;2,218640089;2287,590088;329,6499939
18;A0042;108,4349976;1,46875;1,502020001;-10,45549965;-3,086050034;2047,969971;561,914978
19;A0043;-1;0;1,426949978;-10,89509964;-77,22599792;2194,149902;745,7509766
20;A0044;291,8009949;2,500149965;3,504050016;-13,1967001;-13,60919952;1810,339966;561,3790283
21;A0045;45;1,642019987;5,429359913;-10,55080032;-14,11149979;2024,890015;446,0369873
22;A0046;288,4349976;2,202519894;7,539659977;-2,980259895;-19,4904995;2497,26001;482,7539978
23;A0047;306,8699951;4,6354599;6,701900005;-2,977030039;-3,4454;2840,300049;539,1290283
24;A0048;108,4349976;0,734493971;0;7,627669811;-36,15240097;3071,47998;762,348999
25;A0049;257,7349854;5,450719833;2,041049957;-16,72559929;-13,72239971;1948,849976;246,052002
26;A0050;353,6600037;4,199240208;5,037640095;-11,96580029;-49,42900085;2128,340088;402,8599854
27;A0051;97,125;3,740080118;3,748739958;-13,20820045;7,993659973;1624,780029;866,4320068
28;A0052;149,6210022;7,760399818;3,17918992;-15,07330036;1,790390015;1651,5;495,4030151
29;A0053;302,4710083;3,025749922;4,053369999;-5,993509769;-43,32229996;2187,070068;1122,869995
30;A0054;335,5559998;2,804409981;5,305830002;-3,92324996;-31,58449936;2154,060059;979,3759766
31;A0056;297,8970032;4,45897007;1,830450058;-11,2116003;3,47706008;548,3010254;1588,550049
32;A0067;152,1029968;4,45897007;2,294229984;-15,89589977;2,044019938;2649,76001;1539,98999
33;A0070;175,2359924;5,576369762;6,251599789;-11,29230022;-31,25419998;2688,550049;1398,130005
34;A0071;172,875;3,740080118;7,827660084;-9,464559555;-6,899559975;2833,389893;1674,02002
35;A0072;38,65980148;2,971970081;1,515560031;-10,59469986;6,068789959;2672;1363,349976
36;A0073;258,6900024;1,18422997;6,106130123;-3,161190033;-25,7845993;2415,429932;864,8439941
37;A0074;140,1940002;7,218229771;4,335149765;-12,74629974;10,77799988;2624,080078;734,8220215
38;A0075;183,1799927;8,31608963;2,943890095;-14,34910011;-5,777919769;3014,27002;945,4249878
39;A0076;35,53770065;1,997339964;1,985550046;-10,15950012;-0,263029009;3698,320068;632,8909912
40;A0077;75,96379852;1,914720058;1,609349966;-9,888150215;-6,571080208;3403,399902;788,5390015
41;A0078;-1;0;2,411079884;-8,273280144;2,900360107;3597,560059;746,4439697
42;A0079;237,9949951;4,374139786;3,739670038;-6,214630127;-25,21640015;3482,719971;935,6300049
43;A0080;164,7449951;2,646519899;3,499039888;-5,94659996;-10,91940022;3382,199951;1138,26001
44;A0081;351,8699951;1,642019987;3,940479994;-5,353020191;-4,494890213;3240,219971;1179,699951
45;A0082;261,5289917;10,90400028;3,197269917;-14,99800014;-2,392669916;3060,52002;1118,170044
46;A0083;277,4309998;5,371900082;4,434219837;-12,30930042;-8,861519814;2978,110107;1567,75
47;A0084;196,6990051;4,838620186;3,65279007;-13,79599953;-4,810490131;3148,72998;1506,599976
48;A0085;167,9689941;14,1899004;2,592700005;-16,7397995;18,00139999;2920,620117;1379,800049
49;A0086;302,4710083;3,025749922;7,728159904;-1,983299971;-10,84799957;2706,719971;257,2510071
50;A0087;356,1860046;6,949590206;5,64966011;-10,00080013;-44,94060135;2739,929932;389,927002
51;A0088;30,96380043;1,354159951;3,01244998;-14,18879986;-33,97570038;3027,47998;302,1759949
52;A0089;239,0359955;1,354159951;4,199689865;-11,83520031;-19,87929916;3018,310059;624,401001
53;A0090;288,4349976;2,202519894;4,854199886;-4,308430195;-53,2947998;3176,050049;873,9790039
54;A0091;135;1,642019987;2,423779964;-8,473230362;-17,18429947;2767,810059;468,6929932
55;A0092;67,61990356;4,262539864;3,245120049;-14,27719975;6,969170094;2567,300049;719,1669922
56;A0093;338,1990051;2,500149965;5,266359806;-10,34930038;-20,40279961;2356,02002;592,3909912
57;A0094;315;1,970190048;3,257580042;-7,011950016;-3,030519962;2560,75;586,559021
58;A0095;259,9920044;4,003250122;3,920809984;-12,52390003;-20,56850052;2195,060059;256,7980042
59;A0096;218,9909973;6,25094986;3,602809906;-13,98919964;-7,302060127;1771,569946;363,1069946
60;A0097;168,6900024;2,367449999;4,365419865;-12,39389992;-1,888960004;1407,380005;878,3099976
61;A0098;153,4349976;2,076669931;5,811279774;-10,67010021;-6,805830002;1752,109985;361,756012
62;A0099;239,9309998;5,086190224;4,231510162;-13,13519955;-13,42230034;1548,930054;588,7030029
63;A0100;90;2,321530104;4,404489994;-5,396160126;-24,13610077;516,5269775;1515,699951
64;A0101;45;2,95381999;7,236269951;-9,807640076;-19,10630035;731,5339966;1070,430054
65;A0102;23,19860077;5,291880131;2,325320005;-15,72539997;-12,93099976;519,0689697;1296,839966
66;A0103;90;2,321530104;4,142739773;-12,24909973;-9,235630035;891,4580078;926,9719849
67;A0104;290,2250061;4,692790031;3,074850082;-14,72369957;43,94020081;1138,130005;1171,839966
68;A0105;94,08560181;6,492479801;4,976200104;-12,25010014;3,842410088;1484,670044;927,1370239
69;A0106;251,5650024;2,935570002;4,923570156;-11,49660015;-47,71609879;1732,22998;768,9069824
70;A0107;71,56500244;8,745849609;2,471120119;-16,28619957;-10,10379982;1861,680054;808,4840088
71;A0108;54,09030151;8,259110451;2,581239939;-15,97550011;1,434929967;915,5469971;1151,410034
72;A0109;53,13010025;9,211030006;2,711460114;-15,89820004;-2,444859982;373,9849854;1463,73999
73;A0110;65,85449982;7,34153986;4,560790062;-11,87639999;-17,27429962;629,9730225;1455,060059
74;A0111;81,86990356;4,915309906;2,308729887;-15,57830048;-4,265270233;332,1549988;1745,560059
75;A0112;358,7810059;10,79020023;2,184989929;-17,15929985;4,797190189;710,1500244;1098,349976
