OBJECTID;Name;Exposition;Hangneig;Woelbung;TWIndex;LS-Faktor;Pfad_Fluss;Pfad_Dorf
1;B0001;333,4349976;1,038669944;-17,01479912;-5,963570118;3,949330091;7450,640137;524,677002
2;B0002;198,4349976;3,667649984;2,259929895;-4,183489799;5,654329777;5039,5;2701,209961
3;B0003;352,6940002;9,056879997;4,250070095;-5,864749908;3,609129906;3294,969971;331,4559937
4;B0004;321,8429871;8,214509964;-2,194829941;-7,580659866;2,670900106;3241,370117;388,4049988
5;B0005;180;0,929039001;5,657690048;-10,95510006;1,75940001;2999,179932;666,9390259
6;B0006;296,5650024;3,113300085;4,960460186;-11,78110027;1,41166997;3074,370117;631,8969727
7;B0007;305,5379944;1,997339964;3,342479944;-8,903739929;2,144510031;2978,169922;790,940979
8;B0008;206,5650024;2,076669931;-23,92329979;-6,261340141;3,015700102;2912,689941;770,4899902
9;B0009;98,13009644;3,281349897;-7,316530228;-11,71049976;1,636369944;2907,459961;720,276001
10;B0010;310,7109985;12,95149994;3,096729994;-7,314199924;2,700880051;3572,669922;225,3639984
11;B0011;347,7349854;10,80449963;-30,18759918;-10,29430008;1,717440009;1138,310059;1789,550049
12;B0012;180;0,929039001;-11,86870003;3,390059948;22,68650055;799,1209717;2010,609985
13;B0013;0;3,711280107;-3,15083003;-3,970479965;5,205210209;212,5590057;1018,150024
14;B0014;288,4349976;3,667649984;-13,93309975;-4,071119785;5,079929829;182,9160004;950,9680176
15;B0015;260,5379944;5,633399963;-11,05259991;-4,339479923;4,814469814;252,5780029;1006,590027
16;B0016;277,4309998;5,371900082;-27,10029984;-8,478960037;2,5057199;664,9520264;1008,76001
17;B0017;317,6029968;7,196249962;2,565579891;-12,36769962;1,563830018;9208,870117;324,0320129
18;B0018;46,16910172;15,69480038;-9,222240448;-12,58850002;4,153289795;7122,100098;646,7949829
19;B0019;27,64599991;10,8803997;-4,12334013;-6,934669971;2,883330107;6054,649902;343,3989868
20;B0020;23,19860077;1,768429995;-40,09930038;-12,18200016;1,416120052;5872,640137;161,3869934
21;B0021;14,74359989;9,051110268;3,01060009;-7,911260128;2,596620083;5981,430176;295,2929993
22;B0022;108,4349976;5,855800152;-21,82699966;-4,409170151;5,465209961;7982,27002;899,7670288
23;B0023;298,9089966;17,2385006;-4,761970043;-17,77059937;2,181509972;11683;132,3639984
24;B0024;297,8970032;4,45897007;-70,55680084;-6,537000179;11,26720047;15102,2002;298,4129944
