OBJECTID;Name;Exposition;Hangneig;Woelbung;LS-Faktor;TWIndex;Pfad_Fluss;Pfad_Dorf
1;C0001;85,46219635;14,37049961;-3,358350039;3,994309902;-13,50800037;305,1090088;709,5540161
2;C0002;107,1029968;6,293270111;-12,03579998;1,528339982;-11,16629982;343,4429932;391,4750061
3;C0003;161,5650024;0,734493971;-25,83539963;10,82349968;-0,576788008;803,947998;538,742981
4;C0004;270;0,464549989;-10,21819973;10,41689968;-0,501625001;1397,589966;1006,799988
5;C0005;149,0359955;1,354159951;-12,39949989;1,909829974;-9,315830231;1122,329956;173,4320068
6;C0006;185,1940002;2,563910007;-5,059010029;2,676660061;-7,274759769;1156,119995;208,8820038
7;C0007;153,4349976;1,038669944;-1,419049978;2,830960035;-7,860040188;980,1589966;332,4169922
8;C0008;225;8,478409767;-8,892250061;3,675839901;-5,983839989;6340,439941;73,82499695
9;C0009;151,6990051;10,18019962;-8,863840103;2,677289963;-7,412730217;6655,830078;242,5350037
10;C0010;347,4710083;4,275080204;-28,77930069;5,522649765;-11,92520046;15634,2002;2349,370117
11;C0011;154,4400024;5,901050091;4,859879971;4,208600044;-13,32240009;800,5289917;116,2310028
12;C0012;32,00540161;4,374139786;-3,568919897;2,82020998;-14,17140007;500,79599;799,552002
13;C0013;74,74490356;5,28178978;-7,129680157;4,003330231;-12,53209972;2029,76001;91,26059723
14;C0014;234,4620056;3,989840031;-10,58530045;12,62240028;0,0129576;1316,569946;222,3350067
15;C0015;259,6950073;5,17979002;-1,230900049;3,322870016;-8,515740395;1438,130005;198,7200012
16;C0016;40,2364006;3,949320078;2,914999962;4,130630016;-12,85410023;128,9929962;1638,73999
17;C0017;101,3099976;3,54866004;10,30350018;4,054029942;-12,94849968;740,440979;1068,5
18;C0018;287,526001;9,177009583;-0,440961987;2,137599945;-17,19799995;871,8150024;1865,209961
19;C0019;258,3659973;15,71969986;-1,694069982;2,659420013;-16,51499939;884,8109741;1801,719971
20;C0020;91,0809021;12,12860012;-7,818079948;4,106979847;-14,37250042;589,0230103;747,1370239
21;C0021;100,9540024;14,36019993;-2,521719933;3,171489954;-15,5546999;385,8580017;584,7589722
22;C0022;98,13009644;14,4666996;-1,093629956;2,732749939;-16,4197998;237,1909943;593,742981
23;C0023;100,9810028;15,46609974;-0,371163994;3,444689989;-15,24160004;350,5050049;682,9219971
24;C0024;67,38009644;6,017069817;0,532559991;2,658040047;-15,68010044;248,6170044;1322,530029
25;C0025;63,43489838;5,17979002;-1,266780019;3,287400007;-14,34360027;85,94509888;1348,01001
26;C0026;36,86989975;4,6354599;-7,480969906;2,187099934;-16,36170006;129,5619965;1365,300049
27;C0027;61,69919968;3,425489902;2,850759983;3,084850073;-14,31449986;103,8310013;1218,609985
28;C0028;75,96379852;5,72713995;-0,472788006;1,962990046;-16,92169952;129,2140045;1279,439941
29;C0029;108,8379974;20,00650024;0,761871994;2,253390074;-17,72809982;432,3739929;1488,449951
30;C0030;65,13629913;10,38129997;1,914080024;2,824239969;-15,96539974;332,2569885;1466,349976
31;C0031;41,18590164;4,926169872;-1,640030026;2,639400005;-15,57460022;418,8349915;1416,319946
32;C0032;71,56500244;4,398550034;2,502370119;3,560139894;-13,73190022;332,7709961;1264,26001
33;C0033;53,53079987;6,613840103;-3,356820107;1,712329984;-17,73929977;266,0690002;1057,170044
34;C0034;45;5,892029762;-5,475500107;2,312680006;-16,20569992;357,144989;1020,909973
35;C0035;9,162349701;7,254730225;-10,65079975;1,419759989;-18,85829926;217,4790039;935,4749756
36;C0036;34,15969849;15,34220028;-3,319190025;2,391040087;-17,15209961;606,6069946;1274,469971
37;C0037;35,83769989;10,20559978;-16,4340992;2,453380108;-16,39830017;917,2800293;1339,040039
38;C0038;35,13420105;14,98620033;-18,20499992;3,614860058;-15,11929989;1282,060059;1375,109985
39;C0039;349,0769958;13,24330044;-0,188608006;2,706899881;-16,48830032;958,2420044;1116,02002
40;C0040;47,23120117;23,83580017;-5,023049831;2,597490072;-17,25959969;1044,97998;1081,599976
41;C0041;108,9049988;17,37070084;-3,935539961;3,518320084;-15,25080013;1913,140015;1685,180054
42;C0042;135;9,439970016;0,315596014;2,741970062;-15,92469978;1883,869995;937,2189941
43;C0043;122,0049973;8,697870255;-0,584031999;3,24642992;-14,92910004;1813,609985;845,3850098
