objectid,me,exposure,slope,lsfactor,twindex,curvature,path_river,path_village,studyarea,area,areaA,areaB,areaC,flat,north,south,east,west,lnlsfactor,lsfactor_w,lsfactor_a
1,A0019,"243,435","1,03867","5,03798","-4,12253","-57,5022","1194,88","895,786",A,1,1,0,0,0,0,0,0,1,"1,617005","5,03798","5,03798"
2,A0026,"113,199","3,5335","3,99517","-5,56355","-18,6599","548,854","1273,5",A,1,1,0,0,0,0,0,1,0,"1,385086","3,99517","3,99517"
3,A0027,"101,31","1,18423","5,22221","-3,94444","-50,3893","103,628","1477,22",A,1,1,0,0,0,0,0,1,0,"1,652921","5,22221","5,22221"
4,A0028,270,"2,32153","3,46848","-13,0819","-0,331933","116,724","1448,52",A,1,1,0,0,0,0,0,0,1,"1,243716","3,46848","3,46848"
5,A0029,"108,435","2,20252","4,00864","-5,97451","-21,1459","854,069","1417,17",A,1,1,0,0,0,0,0,1,0,"1,388452","4,00864","4,00864"
6,A0030,135,"0,32849","3,29597","-6,24416","12,3227","455,549","1511,69",A,1,1,0,0,0,0,1,0,0,"1,192701","3,29597","3,29597"
7,A0031,"36,8699","2,32153","4,05353","-6,41407","-28,0431","908,372","1230,62",A,1,1,0,0,0,1,0,0,0,"1,399588","4,05353","4,05353"
8,A0032,"96,5819","11,981","2,75427","-15,9066","3,12714","1381,35","732,081",A,1,1,0,0,0,0,0,1,0,"1,013152","2,75427","2,75427"
9,A0033,"101,31","1,18423","5,16567","-3,42824","-14,7275","1131,21","1232,51",A,1,1,0,0,0,0,0,1,0,"1,642035","5,16567","5,16567"
10,A0034,"102,995","3,09599","5,0103","-4,15157","-22,1851","1409,54","1052,25",A,1,1,0,0,0,0,0,1,0,"1,611496","5,0103","5,0103"
11,A0035,"169,38","7,51903","4,62147","-12,3969","5,73335","1102,9","1488,68",A,1,1,0,0,0,0,1,0,0,"1,530713","4,62147","4,62147"
12,A0036,"16,9275","5,56681","2,02777","-16,8926","-4,65453","1585,59","702,026",A,1,1,0,0,0,1,0,0,0,"0,7069367","2,02777","2,02777"
13,A0037,"138,576","5,2514","3,33898","-13,9172","-31,7727","1888,41","374,242",A,1,1,0,0,0,0,1,0,0,"1,205665","3,33898","3,33898"
14,A0038,"18,4349","3,66765","3,78231","-13,1095","-10,952","1006,22","1231,07",A,1,1,0,0,0,1,0,0,0,"1,330335","3,78231","3,78231"
15,A0039,"343,072","5,56681","2,94048","-14,9552","2,59347","1738,96","750,82",A,1,1,0,0,0,1,0,0,0,"1,078573","2,94048","2,94048"
16,A0040,"128,66","2,97197","4,31991","-12,152","-7,01036","1399,03","1048,41",A,1,1,0,0,0,0,0,1,0,"1,463235","4,31991","4,31991"
